COMMON_NAME,SCIENTIFIC_NAME ,LCTA_CODE,ALPHA_CODE ,AOU,NEO_STAT,NEST_LOC,NEST_TYPE,FOOD_TYPE,FORAGING_SUBSTRATE,FORAGING_TECHNIQUE,HABITAT,NOTES
"Albatross, Black-footed",Diomedea nigripes,DINI,BFAL,810,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,"Scavenger, Ground Gleaner",Pelagic,NA
"Albatross, Laysan",Diomedea immutabilis,DIIM,LAAL,821,R,Ground,Scrape,Aquatic Inverts,Water,Ground Gleaner,Pelagic,NA
Anhinga,Anhinga anhinga,ANAN,ANHI,1180,R,"Shrub, Woody Lower Canopy",Platform,"Fish, Aquatic Inverts",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Ani, Groove-billed",Crotophaga sulcirostris,CRSU,GBAN,3840,C,Woody Lower Canopy,Cup,"Insects, Small Verts",Ground,Ground Gleaner,"Shrubland, Swamp/Marsh",NA
"Ani, Smooth-billed",Crotophaga ani,CRAN,SBAN,3830,R,Woody Lower Canopy,Cup,"Insects, Small Verts",Ground,Ground Gleaner,"Shrubland, Grassland",NA
"Auklet, Cassin’s",Ptychoramphus aleuticus,PTAL,CAAU,160,R,"Ground, Cliff","Burrow, Crevice",Aquatic Inverts,Water,Surface Dives,"Coastal, Pelagic",NA
"Auklet, Crested",Aethia cristatella,AECR,CRAU,180,R,"Ground, Cliff",Crevice,Aquatic Inverts,Water,Surface Dives,"Coastal, Pelagic",NA
"Auklet, Least",Aethia pusilla,AEPU,LEAU,200,R,"Ground, Cliff",Crevice,Aquatic Inverts,Water,Surface Dives,"Coastal, Pelagic",NA
"Auklet, Parakeet",Cyclorrhynchus psittacula,CYPS,PAAU,170,R,"Ground, Cliff",Crevice,"Aquatic Inverts, Fish",Water,Surface Dives,"Coastal, Pelagic",NA
"Auklet, Rhinoceros",Cerorhinca monocerata,CEMO,RHAU,150,R,Ground,Burrow,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Auklet, Whiskered",Aethia pygmaea,AEPY,WHAU,190,R,Ground,Crevice,Aquatic Inverts,Water,Surface Dives,"Coastal, Pelagic",NA
"Avocet, American",Recurvirostra americana,REAM,AMAV,2250,R,Ground,Scrape,"Aquatic Inverts, Insects",Water,Prober,"Swamp/Marsh, Freshwater",NA
"Becard, Rose-throated",Pachyramphus aglaiae,PAAG,RTBE,4411,C,Woody Upper Canopy,Sphere,"Insects, Fruit",Air,"Hover Gleaner, Hawker","Forest, Shrubland",NA
"Bittern, American",Botaurus lentiginosus,BOLE,AMBI,1900,R,Ground,Platform,"Fish, Aquatic Inverts","Water, Ground","Ambusher, Ground Gleaner",Swamp/Marsh,NA
"Bittern, Least",Ixobrychus exilis,IXEX,LEBI,1910,R,"Ground, Shrub",Platform,"Fish, Aquatic Inverts","Water, Ground","Ambusher, Ground Gleaner",Swamp/Marsh,NA
