OID_,Value,Count,Red,Green,Blue,Opacity,1996_Code,1996_Class,2001_Code,2001_Class,Class_Name,Bivariate_
,0,0,194,217,222,0,0, ,0, , ,0
,1,0,0,0,0,255,1,Unclassified,1,Unclassified,Unclassified to Unclassified,101
,2,0,194,217,222,255,1,Unclassified,2,High Intensity Developed,Unclassified to High Intensity Developed,102
,3,0,168,153,168,255,1,Unclassified,3,Medium Intensity Developed,Unclassified to Medium Intensity Developed,103
,4,0,143,117,125,255,1,Unclassified,4,Low Intensity Developed,Unclassified to Low Intensity Developed,104
,5,0,194,204,56,255,1,Unclassified,5,Developed Open Space,Unclassified to Developed Open Space,105
,6,0,84,33,0,255,1,Unclassified,6,Cultivated,Unclassified to Cultivated,106
,7,0,194,161,79,255,1,Unclassified,7,Pasture/Hay,Unclassified to Pasture/Hay,107
,8,0,243,186,135,255,1,Unclassified,8,Grassland,Unclassified to Grassland,108
,9,0,0,243,0,255,1,Unclassified,9,Deciduous Forest,Unclassified to Deciduous Forest,109
,10,0,0,58,0,255,1,Unclassified,10,Evergreen Forest,Unclassified to Evergreen Forest,110
,11,0,7,161,58,255,1,Unclassified,11,Mixed Forest,Unclassified to Mixed Forest,111
,12,0,110,110,0,255,1,Unclassified,12,Scrub/Shrub,Unclassified to Scrub/Shrub,112
,13,0,0,92,92,255,1,Unclassified,13,Palustrine Forested Wetland,Unclassified to Palustrine Forested Wetland,113
,14,0,243,110,0,255,1,Unclassified,14,Palustrine Scrub/Shrub Wetland,Unclassified to Palustrine Scrub/Shrub Wetland,114
,15,0,243,0,243,255,1,Unclassified,15,Palustrine Emergent Wetland,Unclassified to Palustrine Emergent Wetland,115
,16,0,61,0,61,255,1,Unclassified,16,Estuarine Forested Wetland,Unclassified to Estuarine Forested Wetland,116
,17,0,110,0,110,255,1,Unclassified,17,Estuarine Scrub/Shrub Wetland,Unclassified to Estuarine Scrub/Shrub Wetland,117
,18,0,176,0,176,255,1,Unclassified,18,Estuarine Emergent Wetland,Unclassified to Estuarine Emergent Wetland,118
,19,0,0,243,243,255,1,Unclassified,19,Unconsolidated Shore,Unclassified to Unconsolidated Shore,119
,20,0,243,243,0,255,1,Unclassified,20,Bare Land,Unclassified to Bare Land,120
,21,0,0,0,120,255,1,Unclassified,21,Water,Unclassified to Water,121
,22,0,0,0,243,255,1,Unclassified,22,Palustrine Aquatic Bed,Unclassified to Palustrine Aquatic Bed,122
,23,0,102,117,220,255,1,Unclassified,23,Estuarine Aquatic Bed,Unclassified to Estuarine Aquatic Bed,123
,24,0,250,209,0,255,1,Unclassified,24,Tundra,Unclassified to Tundra,124
,25,0,171,250,240,255,1,Unclassified,25,Snow/Ice,Unclassified to Snow/Ice,125
,26,0,0,0,0,255,2,High Intensity Developed,1,Unclassified,High Intensity Developed to Unclassified,201
,27,830553,194,217,222,255,2,High Intensity Developed,2,High Intensity Developed,High Intensity Developed to High Intensity Developed,202
,28,0,168,153,168,255,2,High Intensity Developed,3,Medium Intensity Developed,High Intensity Developed to Medium Intensity Developed,203
,29,154,143,117,125,255,2,High Intensity Developed,4,Low Intensity Developed,High Intensity Developed to Low Intensity Developed,204
,30,0,194,204,56,255,2,High Intensity Developed,5,Developed Open Space,High Intensity Developed to Developed Open Space,205
,31,0,84,33,0,255,2,High Intensity Developed,6,Cultivated,High Intensity Developed to Cultivated,206
,32,0,194,161,79,255,2,High Intensity Developed,7,Pasture/Hay,High Intensity Developed to Pasture/Hay,207
,33,0,243,186,135,255,2,High Intensity Developed,8,Grassland,High Intensity Developed to Grassland,208
,34,0,0,243,0,255,2,High Intensity Developed,9,Deciduous Forest,High Intensity Developed to Deciduous Forest,209
,35,0,0,58,0,255,2,High Intensity Developed,10,Evergreen Forest,High Intensity Developed to Evergreen Forest,210
,36,0,7,161,58,255,2,High Intensity Developed,11,Mixed Forest,High Intensity Developed to Mixed Forest,211
,37,0,110,110,0,255,2,High Intensity Developed,12,Scrub/Shrub,High Intensity Developed to Scrub/Shrub,212
,38,0,0,92,92,255,2,High Intensity Developed,13,Palustrine Forested Wetland,High Intensity Developed to Palustrine Forested Wetland,213
,39,0,243,110,0,255,2,High Intensity Developed,14,Palustrine Scrub/Shrub Wetland,High Intensity Developed to Palustrine Scrub/Shrub Wetland,214
,40,0,243,0,243,255,2,High Intensity Developed,15,Palustrine Emergent Wetland,High Intensity Developed to Palustrine Emergent Wetland,215
,41,0,61,0,61,255,2,High Intensity Developed,16,Estuarine Forested Wetland,High Intensity Developed to Estuarine Forested Wetland,216
,42,0,110,0,110,255,2,High Intensity Developed,17,Estuarine Scrub/Shrub Wetland,High Intensity Developed to Estuarine Scrub/Shrub Wetland,217
