OBJECTID,Class_Name,ALDI,ALFM,ALGS
1, ,0,113860,0
2,Unclassified to Unclassified,0,0,0
3,Unclassified to High Intensity Developed,0,0,0
4,Unclassified to Medium Intensity Developed,0,0,0
5,Unclassified to Low Intensity Developed,0,0,0
6,Unclassified to Developed Open Space,0,0,0
7,Unclassified to Cultivated,0,0,0
8,Unclassified to Pasture/Hay,0,0,0
9,Unclassified to Grassland,0,0,0
10,Unclassified to Deciduous Forest,0,0,0
11,Unclassified to Evergreen Forest,0,0,0
12,Unclassified to Mixed Forest,0,0,0
13,Unclassified to Scrub/Shrub,0,0,0
14,Unclassified to Palustrine Forested Wetland,0,0,0
15,Unclassified to Palustrine Scrub/Shrub Wetland,0,0,0
16,Unclassified to Palustrine Emergent Wetland,0,0,0
17,Unclassified to Estuarine Forested Wetland,0,0,0
18,Unclassified to Estuarine Scrub/Shrub Wetland,0,0,0
19,Unclassified to Estuarine Emergent Wetland,0,0,0
20,Unclassified to Unconsolidated Shore,0,0,0
21,Unclassified to Bare Land,0,0,0
22,Unclassified to Water,0,0,0
23,Unclassified to Palustrine Aquatic Bed,0,0,0
24,Unclassified to Estuarine Aquatic Bed,0,0,0
25,Unclassified to Tundra,0,0,0
26,Unclassified to Snow/Ice,0,0,0
27,High Intensity Developed to Unclassified,0,0,0
28,High Intensity Developed to High Intensity Developed,585,180,3802
29,High Intensity Developed to Medium Intensity Developed,0,0,0
30,High Intensity Developed to Low Intensity Developed,0,0,0
31,High Intensity Developed to Developed Open Space,0,0,0
32,High Intensity Developed to Cultivated,0,0,0
33,High Intensity Developed to Pasture/Hay,0,0,0
34,High Intensity Developed to Grassland,0,0,0
35,High Intensity Developed to Deciduous Forest,0,0,0
36,High Intensity Developed to Evergreen Forest,0,0,0
37,High Intensity Developed to Mixed Forest,0,0,0
38,High Intensity Developed to Scrub/Shrub,0,0,0
39,High Intensity Developed to Palustrine Forested Wetland,0,0,0
40,High Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0
41,High Intensity Developed to Palustrine Emergent Wetland,0,0,0
42,High Intensity Developed to Estuarine Forested Wetland,0,0,0
43,High Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0
44,High Intensity Developed to Estuarine Emergent Wetland,0,0,0
45,High Intensity Developed to Unconsolidated Shore,0,0,0
46,High Intensity Developed to Bare Land,0,0,0
47,High Intensity Developed to Water,0,0,0
48,High Intensity Developed to Palustrine Aquatic Bed,0,0,0
49,High Intensity Developed to Estuarine Aquatic Bed,0,0,0
50,High Intensity Developed to Tundra,0,0,0
51,High Intensity Developed to Snow/Ice,0,0,0
52,Medium Intensity Developed to Unclassified,0,0,0
53,Medium Intensity Developed to High Intensity Developed,38,85,360
54,Medium Intensity Developed to Medium Intensity Developed,1871,2257,6982
55,Medium Intensity Developed to Low Intensity Developed,0,0,0
56,Medium Intensity Developed to Developed Open Space,0,0,0
57,Medium Intensity Developed to Cultivated,0,0,0
58,Medium Intensity Developed to Pasture/Hay,0,0,0
59,Medium Intensity Developed to Grassland,0,0,0
60,Medium Intensity Developed to Deciduous Forest,0,0,0
61,Medium Intensity Developed to Evergreen Forest,0,0,0
62,Medium Intensity Developed to Mixed Forest,0,0,0
63,Medium Intensity Developed to Scrub/Shrub,0,0,0
64,Medium Intensity Developed to Palustrine Forested Wetland,0,0,0
65,Medium Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0
66,Medium Intensity Developed to Palustrine Emergent Wetland,0,0,0
67,Medium Intensity Developed to Estuarine Forested Wetland,0,0,0
68,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0
69,Medium Intensity Developed to Estuarine Emergent Wetland,0,0,0
70,Medium Intensity Developed to Unconsolidated Shore,0,0,0
71,Medium Intensity Developed to Bare Land,0,0,0
72,Medium Intensity Developed to Water,0,0,0
73,Medium Intensity Developed to Palustrine Aquatic Bed,0,0,0
74,Medium Intensity Developed to Estuarine Aquatic Bed,0,0,0
75,Medium Intensity Developed to Tundra,0,0,0
76,Medium Intensity Developed to Snow/Ice,0,0,0
77,Low Intensity Developed to Unclassified,0,0,0
78,Low Intensity Developed to High Intensity Developed,0,0,0
79,Low Intensity Developed to Medium Intensity Developed,84,147,249
80,Low Intensity Developed to Low Intensity Developed,6960,3968,30044
81,Low Intensity Developed to Developed Open Space,0,0,0
82,Low Intensity Developed to Cultivated,0,0,0
83,Low Intensity Developed to Pasture/Hay,0,0,0
84,Low Intensity Developed to Grassland,0,0,0
85,Low Intensity Developed to Deciduous Forest,0,0,0
86,Low Intensity Developed to Evergreen Forest,0,0,0
87,Low Intensity Developed to Mixed Forest,0,0,0
88,Low Intensity Developed to Scrub/Shrub,0,0,0
89,Low Intensity Developed to Palustrine Forested Wetland,0,0,0
90,Low Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0
91,Low Intensity Developed to Palustrine Emergent Wetland,0,0,0
92,Low Intensity Developed to Estuarine Forested Wetland,0,0,0
93,Low Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0
94,Low Intensity Developed to Estuarine Emergent Wetland,0,0,0
95,Low Intensity Developed to Unconsolidated Shore,0,0,0
96,Low Intensity Developed to Bare Land,0,0,0
97,Low Intensity Developed to Water,0,0,0
98,Low Intensity Developed to Palustrine Aquatic Bed,0,0,0
99,Low Intensity Developed to Estuarine Aquatic Bed,0,0,0
100,Low Intensity Developed to Tundra,0,0,0
101,Low Intensity Developed to Snow/Ice,0,0,0
102,Developed Open Space to Unclassified,0,0,0
103,Developed Open Space to High Intensity Developed,0,0,0
104,Developed Open Space to Medium Intensity Developed,0,0,1
105,Developed Open Space to Low Intensity Developed,20,129,619
106,Developed Open Space to Developed Open Space,1698,574,15578
107,Developed Open Space to Cultivated,0,0,0
108,Developed Open Space to Pasture/Hay,0,0,0
109,Developed Open Space to Grassland,0,0,0
110,Developed Open Space to Deciduous Forest,0,0,0
111,Developed Open Space to Evergreen Forest,0,0,0
112,Developed Open Space to Mixed Forest,0,0,0
113,Developed Open Space to Scrub/Shrub,0,0,0
114,Developed Open Space to Palustrine Forested Wetland,0,0,0
115,Developed Open Space to Palustrine Scrub/Shrub Wetland,0,0,0
116,Developed Open Space to Palustrine Emergent Wetland,0,0,0
117,Developed Open Space to Estuarine Forested Wetland,0,0,0
118,Developed Open Space to Estuarine Scrub/Shrub Wetland,0,0,0
119,Developed Open Space to Estuarine Emergent Wetland,0,0,0
120,Developed Open Space to Unconsolidated Shore,0,0,0
121,Developed Open Space to Bare Land,0,0,0
122,Developed Open Space to Water,0,0,0
123,Developed Open Space to Palustrine Aquatic Bed,0,0,0
124,Developed Open Space to Estuarine Aquatic Bed,0,0,0
125,Developed Open Space to Tundra,0,0,0
126,Developed Open Space to Snow/Ice,0,0,0
127,Cultivated to Unclassified,0,0,0
128,Cultivated to High Intensity Developed,0,0,0
129,Cultivated to Medium Intensity Developed,0,0,0
130,Cultivated to Low Intensity Developed,0,0,23
131,Cultivated to Developed Open Space,0,0,7
132,Cultivated to Cultivated,1140,0,66533
133,Cultivated to Pasture/Hay,0,0,0
134,Cultivated to Grassland,0,0,86
135,Cultivated to Deciduous Forest,0,0,0
136,Cultivated to Evergreen Forest,0,0,0
137,Cultivated to Mixed Forest,0,0,2
138,Cultivated to Scrub/Shrub,0,0,6
139,Cultivated to Palustrine Forested Wetland,0,0,0
140,Cultivated to Palustrine Scrub/Shrub Wetland,0,0,0
141,Cultivated to Palustrine Emergent Wetland,0,0,0
142,Cultivated to Estuarine Forested Wetland,0,0,0
143,Cultivated to Estuarine Scrub/Shrub Wetland,0,0,0
144,Cultivated to Estuarine Emergent Wetland,0,0,0
145,Cultivated to Unconsolidated Shore,0,0,0
146,Cultivated to Bare Land,0,0,0
147,Cultivated to Water,0,0,0
148,Cultivated to Palustrine Aquatic Bed,0,0,0
149,Cultivated to Estuarine Aquatic Bed,0,0,0
150,Cultivated to Tundra,0,0,0
151,Cultivated to Snow/Ice,0,0,0
152,Pasture/Hay to Unclassified,0,0,0
153,Pasture/Hay to High Intensity Developed,0,0,0
154,Pasture/Hay to Medium Intensity Developed,0,0,0
155,Pasture/Hay to Low Intensity Developed,0,0,33
156,Pasture/Hay to Developed Open Space,1,0,110
157,Pasture/Hay to Cultivated,0,0,0
158,Pasture/Hay to Pasture/Hay,1395,0,32141
159,Pasture/Hay to Grassland,6,0,65
160,Pasture/Hay to Deciduous Forest,0,0,13
161,Pasture/Hay to Evergreen Forest,2,0,29
162,Pasture/Hay to Mixed Forest,0,0,0
163,Pasture/Hay to Scrub/Shrub,0,0,142
164,Pasture/Hay to Palustrine Forested Wetland,49,0,139
165,Pasture/Hay to Palustrine Scrub/Shrub Wetland,0,0,187
166,Pasture/Hay to Palustrine Emergent Wetland,27,0,127
167,Pasture/Hay to Estuarine Forested Wetland,0,0,0
168,Pasture/Hay to Estuarine Scrub/Shrub Wetland,0,0,0
169,Pasture/Hay to Estuarine Emergent Wetland,0,0,0
170,Pasture/Hay to Unconsolidated Shore,0,0,0
171,Pasture/Hay to Bare Land,0,0,0
172,Pasture/Hay to Water,17,0,94
173,Pasture/Hay to Palustrine Aquatic Bed,0,0,0
174,Pasture/Hay to Estuarine Aquatic Bed,0,0,0
175,Pasture/Hay to Tundra,0,0,0
176,Pasture/Hay to Snow/Ice,0,0,0
177,Grassland to Unclassified,0,0,0
178,Grassland to High Intensity Developed,3,2,12
179,Grassland to Medium Intensity Developed,14,19,21
180,Grassland to Low Intensity Developed,16,81,598
181,Grassland to Developed Open Space,33,90,511
182,Grassland to Cultivated,0,0,3
183,Grassland to Pasture/Hay,0,0,17
184,Grassland to Grassland,4386,663,16064
185,Grassland to Deciduous Forest,0,0,4
186,Grassland to Evergreen Forest,248,25,1311
187,Grassland to Mixed Forest,0,5,16
188,Grassland to Scrub/Shrub,65,100,624
189,Grassland to Palustrine Forested Wetland,18,0,15
190,Grassland to Palustrine Scrub/Shrub Wetland,186,0,299
191,Grassland to Palustrine Emergent Wetland,0,0,9
192,Grassland to Estuarine Forested Wetland,0,0,0
193,Grassland to Estuarine Scrub/Shrub Wetland,0,0,0
194,Grassland to Estuarine Emergent Wetland,0,0,1
195,Grassland to Unconsolidated Shore,1,0,24
196,Grassland to Bare Land,52,110,98
197,Grassland to Water,11,0,45
198,Grassland to Palustrine Aquatic Bed,0,0,0
199,Grassland to Estuarine Aquatic Bed,0,0,0
200,Grassland to Tundra,0,0,0
201,Grassland to Snow/Ice,0,0,0
202,Deciduous Forest to Unclassified,0,0,0
203,Deciduous Forest to High Intensity Developed,0,0,1
204,Deciduous Forest to Medium Intensity Developed,0,0,0
205,Deciduous Forest to Low Intensity Developed,0,0,0
206,Deciduous Forest to Developed Open Space,0,0,1
207,Deciduous Forest to Cultivated,0,0,0
208,Deciduous Forest to Pasture/Hay,0,0,0
209,Deciduous Forest to Grassland,4,0,4
210,Deciduous Forest to Deciduous Forest,10,113,562
211,Deciduous Forest to Evergreen Forest,0,0,1
212,Deciduous Forest to Mixed Forest,0,0,0
213,Deciduous Forest to Scrub/Shrub,0,0,2
214,Deciduous Forest to Palustrine Forested Wetland,0,0,0
215,Deciduous Forest to Palustrine Scrub/Shrub Wetland,0,0,0
216,Deciduous Forest to Palustrine Emergent Wetland,0,0,0
217,Deciduous Forest to Estuarine Forested Wetland,0,0,0
218,Deciduous Forest to Estuarine Scrub/Shrub Wetland,0,0,0
219,Deciduous Forest to Estuarine Emergent Wetland,0,0,0
220,Deciduous Forest to Unconsolidated Shore,0,0,0
221,Deciduous Forest to Bare Land,0,0,0
222,Deciduous Forest to Water,2,0,0
223,Deciduous Forest to Palustrine Aquatic Bed,0,0,0
224,Deciduous Forest to Estuarine Aquatic Bed,0,0,0
225,Deciduous Forest to Tundra,0,0,0
226,Deciduous Forest to Snow/Ice,0,0,0
227,Evergreen Forest to Unclassified,0,0,0
228,Evergreen Forest to High Intensity Developed,0,0,23
229,Evergreen Forest to Medium Intensity Developed,1,3,130
230,Evergreen Forest to Low Intensity Developed,45,1,796
231,Evergreen Forest to Developed Open Space,2,2,391
232,Evergreen Forest to Cultivated,0,0,210
233,Evergreen Forest to Pasture/Hay,14,0,600
234,Evergreen Forest to Grassland,330,42,3327
235,Evergreen Forest to Deciduous Forest,0,0,0
236,Evergreen Forest to Evergreen Forest,23950,4705,68484
237,Evergreen Forest to Mixed Forest,0,0,1
238,Evergreen Forest to Scrub/Shrub,233,40,1509
239,Evergreen Forest to Palustrine Forested Wetland,38,1,64
240,Evergreen Forest to Palustrine Scrub/Shrub Wetland,34,0,385
241,Evergreen Forest to Palustrine Emergent Wetland,0,0,6
242,Evergreen Forest to Estuarine Forested Wetland,0,0,0
243,Evergreen Forest to Estuarine Scrub/Shrub Wetland,0,0,0
