OBJECTID,LABEL,ALDI,ALFM,ALGS,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSJC,MSSH,TXAY,TXBP,TXFR,TXGA,TXHO,TXMM,TXOC,TXOR,TXSB,TXSR,LULC
1,Background,17092,249284,81325,30269,99686,0,0,27978,149367,77396,0,194653,26260,3157,31278,85604,501837,341155,6055,392,4615,17983,55513,99882,0,102442,221525,159471,0,93901,131212,139991,36628,97491,0,42681,0,40823,179476,25568,300444,47179,23590,117835,58636,0,9439,187109,37742,71544,228583,84281,0,0,30437,79904,0,0,0,159588,7945,115281,0,41397,0,0,60856,101242,Open Ocean
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Residential,9029,4489,23320,19106,6249,40275,81497,75821,0,50474,573,2182,54231,26124,55687,194591,0,6523,4394,177206,52084,62760,40446,27611,195807,8560,9248,15470,0,0,5046,36460,97490,86759,78585,42942,53412,5855,22926,18066,8145,2944,188401,96423,53677,217762,7315,49405,102592,843,4268,312,51121,62066,1686,11170,25800,11154,38993,4374,34247,32608,36554,2246,45253,603,7585,1650,
13,Commercial and services,632,0,10593,833,203,1375,12186,14150,101,31148,0,281,19879,994,16682,65767,0,241,1075,37700,4433,1958,6939,2567,24132,611,11511,0,0,5590,2040,5459,11664,4817,19784,4039,4364,1490,4507,1184,0,70,36020,12680,2706,43159,877,2300,9612,144,243,0,15105,6963,1225,1715,2554,5115,15204,0,6065,4208,3680,34,2588,84,156,698,
