Rowid_,LABEL,ALDI,ALFM,ALGS,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSJC,MSSH,TXAR,TXAY,TXBP,TXCC,TXCF,TXCT,TXFR,TXGA,TXGF,TXHO,TXKW,TXLA,TXMM,TXOC,TXOR,TXPA,TXRO,TXSB,TXSR
1,Open Ocean ,348642,453923,121155,41670,312965,45568,122620,168001,447028,220615,298088,242950,189403,36658,48472,158493,491598,481815,8627,6263,145765,64451,127691,108482,109845,466757,433105,417065,0,213724,151250,153974,147453,108813,261185,64624,156518,210270,205070,85647,406971,73938,163157,158150,134886,28757,136803,209123,50052,79296,362466,103566,141721,133294,147950,212719,38603,27778,140689,113883,215817,12448,250908,240971,22700,326104,40849,88347,244211,84411,178756,14834,25295,327251,254557,86878,153822
12,Open Water ,4838,5479,10932,12288,4006,9979,9728,6218,6854,4266,16499,6237,19015,9889,6678,9459,0,1104,5592,22057,22627,9253,24876,16014,14532,3613,5544,4824,4350,31390,6462,10055,12438,6948,4268,9412,11420,2450,14393,4709,2903,7377,9617,6669,15665,17127,16569,8979,16147,66052,64999,35921,45653,11491,90553,132359,17242,6803,28771,11128,18322,39137,15974,57880,24327,14600,22926,12993,9195,38298,53143,54779,40431,24892,29055,17168,46387
22,Low Intensity Residential ,1914,243,4321,123410,2059,51891,81074,40770,499,26022,41,1545,43707,92304,48667,115926,0,2815,39301,158975,133802,71519,51785,46872,138184,2305,6785,6901,99,459,7259,56354,71330,72857,44427,49900,68381,2233,28059,35354,5566,8376,96778,79247,90006,154241,9349,55843,135107,165,1244,74,33969,63132,351,1690,15531,5101,0,35200,248,10637,11061,1190,16230,7755,1724,38692,0,23,1151,22621,2695,5680,9808,2386,183
23,High Intensity Residential ,103,0,1005,25518,249,20186,51116,11088,0,11109,0,172,41219,6399,32443,103496,0,3207,5391,120795,46418,26409,16394,19036,112610,2767,5767,2419,0,0,4911,25700,61667,55587,11036,26832,32652,443,8845,9949,1210,250,101021,57253,35520,100570,5086,20645,62367,0,43,0,29951,4886,23,289,1709,210,0,37124,1,10575,24402,1715,17071,17615,124,26293,0,17,67,12032,760,5778,3427,29,3
24,Commercial/Industrial/Transportation,1632,231,6515,25236,937,15715,34145,20789,1080,26024,708,779,31823,12723,24302,76158,0,2497,14095,75975,12593,24012,22968,16729,40345,2157,10518,4804,1693,14261,5898,22566,16164,12734,21432,13383,17612,2086,11735,10468,2784,1205,34906,20694,23238,60009,5056,13544,33552,1061,661,758,29251,15395,1805,6707,6581,3184,296,45542,632,18525,24943,4076,29245,34094,3901,45990,0,327,1022,13783,3392,7706,4892,227,1049
26,LULC Residential ,788,2401,3259,2618,216,8198,6752,1547,0,984,100,197,3285,3959,2689,2483,0,668,572,4866,1663,7752,3704,2831,4513,833,837,1760,0,0,662,3609,10710,7620,1224,3545,4829,423,1914,2973,1383,731,10681,7476,4173,16062,560,1851,4101,90,1132,21,294,617,302,3428,162,156,0,1253,228,6384,2872,942,3650,407,215,5287,62,462,457,12897,199,3801,3540,1660,126
27,NLCD/LULC Forested Residential ,2578,1077,8029,723,2313,1577,2158,28252,0,16014,1,292,1471,2168,1820,492,0,140,280,1225,904,2085,3538,1236,1976,0,0,0,0,0,129,1506,4061,3229,28748,3328,1595,1878,1359,932,765,906,3640,2273,2452,8327,58,2704,1455,0,100,0,3093,19145,0,1891,9364,7225,0,3117,0,2267,177,191,4866,107,13,813,27,6,150,12900,75,2837,1684,1345,0
32,Bare Rock/Sand/Clay ,2930,6616,3331,833,4050,1543,572,2575,95,5227,866,449,1115,399,985,4481,0,1903,2500,1876,745,1706,10263,1581,1530,399,2840,2452,2,2937,4493,1267,1929,763,262,3510,767,4544,4492,2048,617,463,1597,1664,34,287,1555,493,1457,1220,2411,2777,201,14,1009,217,212,38,67,1561,742,3558,2141,21191,1354,682,1235,3850,8081,6273,3004,1749,2891,2237,965,187,735
33,Quarries/Strip Mines/Gravel Pits,214,0,0,937,0,0,0,23,0,419,0,0,0,83,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,958,0,0,0,582,15,621,0,0,0,0,0,217,345,0,0,0,0,0,0,0,31,535,0,0,227,401,0,29,0,2913,0,0,0,0,102,0,0,0,102,1040,0,0,0,0,5
34,Transitional ,7284,151,12865,7880,1038,4211,689,11178,158,6229,8,8364,3279,5916,14230,2472,0,0,19124,2196,47,1341,11589,821,4193,0,170,4,57,2407,29491,2038,1197,2077,7173,15893,343,10435,2964,2876,0,26709,852,975,81,794,216,34,5628,0,0,1,64,2172,2,142,14478,5957,0,0,0,0,0,0,0,0,0,0,0,0,0,1699,320,0,0,0,0
