OBJECTID,LABEL,ALDI,ALFM,ALGS
1,Background,0,113860,0
2,Unclassified,0,0,0
3,"Developed, High ",666,351,5476
4,"Developed, Medium",2051,2587,12644
5,"Developed, Low",7215,4483,42430
6,"Developed, Open Space",1788,702,22176
7,Cultivated Crops ,1181,1,61120
8,Pasture/Hay,1481,52,26819
9,Grasslands/Herbaceous ,5311,870,21650
10,Deciduous Forest,10,79,484
11,Evergreen Forest,25293,3009,52466
12,Mixed Forest,53,3,489
13,Scrub/Shrub,5691,2675,25103
14,Palustrine Forested Wetland ,32854,7954,55526
15,Palustrine Scrub/Shrub Wetland,22339,2634,17861
16,Palustrine Emergent Wetland ,3383,1119,5025
17,Estuarine Forested Wetland,8,0,23
18,Estuarine Scrub/Shrub Wetland ,546,100,805
19,Estuarine Emergent Wetland,35743,8829,12762
20,Unconsolidated Shore ,2055,836,3430
21,Bare Land ,4305,7002,8472
22,Open Water,350357,345235,127593
23,Palustrine Aquatic Bed ,2,0,8
24,Estuarine Aquatic Bed ,39,0,30
