OBJECTID,LABEL,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSSH,TXOC,TXSR
1,Background,0,96362,376,0,0,0,0,425405,501887,364030
2,Unclassified,0,0,0,0,0,0,0,0,0,0
3,"Developed, High ",129,1108,174,16444,6440,1011,331,320,0,642
4,"Developed, Medium",958,1418,657,27033,19009,2850,1367,596,1,2019
5,"Developed, Low",7018,3155,2769,58755,43682,4885,8019,2991,3,5335
6,"Developed, Open Space",3,365,141,7567,19437,145,3000,1471,0,174
7,Cultivated Crops ,90,23,6277,3772,535,929,861,0,0,565
8,Pasture/Hay,10043,10,7380,2782,10229,3758,2486,628,0,1071
9,Grasslands/Herbaceous ,6594,912,4864,1081,5595,8776,3002,1258,0,1560
10,Deciduous Forest,145,2,8,368,197,20,633,15,0,16
11,Evergreen Forest,54,13,37,61,84756,108,17,12295,0,1
12,Mixed Forest,101,3,6,495,1252,71,43,76,0,21
13,Scrub/Shrub,1310,105,125,803,21266,1289,931,4618,0,100
14,Palustrine Forested Wetland ,2062,83,173,38771,47129,373,2097,7655,0,672
15,Palustrine Scrub/Shrub Wetland,286,335,358,18221,12842,512,3884,5522,0,199
16,Palustrine Emergent Wetland ,75602,6,9933,31659,6478,2144,5757,1620,0,2491
17,Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
18,Estuarine Scrub/Shrub Wetland ,35,11,57,241,1072,122,62,440,33,2
19,Estuarine Emergent Wetland,268617,75840,323641,100732,68781,252551,99209,30040,344,70250
20,Unconsolidated Shore ,3398,1335,1855,1232,301,2984,14157,73,0,548
21,Bare Land ,149,1619,808,283,1029,446,1288,289,0,4987
22,Open Water,124707,314391,142441,191181,152259,216723,350767,7040,111,47582
23,Palustrine Aquatic Bed ,632,1,187,926,3,1584,51,0,0,28
24,Estuarine Aquatic Bed ,449,5278,87,2,98,1110,4407,7,0,79
