OBJECTID,LABEL,TXAR,TXAY,TXBP,TXCC,TXCF,TXCT,TXFR,TXGA,TXGF,TXHO,TXKW,TXLA,TXMM,TXOC,TXOR,TXPA,TXRO,TXSB,TXSR
1,Background,0,0,41897,0,0,2957,0,0,0,0,0,0,0,0,0,0,0,0,15310
2,Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Developed, High ",0,19519,221,8450,12177,2305,13600,17838,1368,21557,3,125,58,5471,342,2840,1691,8,992
4,"Developed, Medium",187,62085,2374,23764,36439,9093,21850,30599,1676,36395,202,2857,863,11881,1659,10487,8056,381,2786
5,"Developed, Low",2013,52792,9453,17928,15197,6404,25557,14993,3308,40366,369,9179,3789,48301,9603,9809,13894,3465,7914
6,"Developed, Open Space",203,50604,244,27875,32160,1218,19516,7935,2012,41558,270,3241,1831,20661,4811,6965,11271,1117,186
7,Cultivated Crops ,29749,1963,5929,227356,10427,286,2156,0,92367,16050,0,121403,25576,9431,11634,187,22934,3809,630
8,Pasture/Hay,13900,54299,10772,17506,387,3,19460,2105,117956,73986,0,3394,37713,67230,57864,1447,11833,24138,10524
9,Grasslands/Herbaceous ,25384,23976,775,13390,35507,15767,28234,7117,17016,19672,127134,46129,38908,9557,16679,23939,37227,21242,3601
10,Deciduous Forest,17986,31379,60,8570,6656,980,13304,352,5945,30432,292,2287,6817,1569,6805,31322,28791,11229,63
11,Evergreen Forest,6953,7059,165,164,156,8,9800,53,1387,5487,0,40,1924,20448,10613,465,1504,23654,39
12,Mixed Forest,1083,3881,87,56,61,1,5860,94,1565,8156,0,202,1176,35392,23057,287,369,10249,75
13,Scrub/Shrub,19374,15520,182,24914,39415,18180,12083,457,36384,10319,22217,49431,15870,14156,3199,12051,19333,13891,278
14,Palustrine Forested Wetland ,6885,28983,1744,2235,519,83,45786,260,31166,52757,5,993,8729,118008,198766,771,1080,43227,785
15,Palustrine Scrub/Shrub Wetland,61589,9545,2280,8303,6689,15770,62704,4489,26220,10295,18330,31115,12501,11081,11527,2175,6861,41522,1688
16,Palustrine Emergent Wetland ,84077,7114,80857,34994,17877,66029,83616,15642,25815,11968,28376,87457,47424,47061,54869,13683,31790,53839,41014
17,Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Estuarine Scrub/Shrub Wetland ,1,33,148,23,73,209,1,25,1167,265,326,9,0,1197,0,48,6,1,38
19,Estuarine Emergent Wetland,77971,5309,150680,37608,8359,31826,86353,35604,84355,10005,5650,3769,86578,21032,22390,32204,29479,146456,220671
20,Unconsolidated Shore ,10508,3750,2721,14600,22521,113890,10494,23891,2224,8770,104544,45315,12063,116,4156,19349,8960,10962,2201
21,Bare Land ,167,1124,170,3987,7172,3760,1433,665,659,1751,14442,7859,1920,403,291,10447,1145,819,5039
22,Open Water,144155,122629,191241,29940,247667,188471,33648,339673,48205,100452,148493,72764,197922,58811,61372,320007,264238,89380,187603
23,Palustrine Aquatic Bed ,111,784,202,280,86,41,2989,150,304,1646,87,1201,442,429,2084,36,164,479,320
24,Estuarine Aquatic Bed ,96,29,157,445,2847,25114,3921,462,1274,502,31674,13594,265,126,681,3870,1733,2485,610
