OBJECTID,LABEL,FLAB,FLAL,FLBA,FLBI,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPI,FLPR,FLSA,FLSB,FLSC,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP
1,,68652,155470,0,310607,0,51958,119868,5272,404349,321471,505717,246945,456507,468341,0,245730,213603,397118,590,53938,15458,308160,63188,336779,19806,0,102835,362230,12,324694,268820,179323,0,161433,48753,60275,1158,84275,422651
2,Dense Mangrove,4,2586,7450,13094,69093,150,1967,142,18,3614,0,1177,395,478,39246,9372,2973,8450,9160,11173,12938,725,11694,1330,14797,1934,1280,12749,21444,608,3312,15425,8332,881,6862,405,120495,1384,326
3,Open Mangrove,667,2204,9039,11749,83661,595,1668,1297,0,1858,0,763,26,234,21723,1508,749,3151,8967,10870,11664,5402,1470,1603,12954,2490,3375,1600,11464,630,1284,6002,4910,1150,1303,1066,40923,1350,221
4,Open Water,61220,63609,150649,150198,315687,226552,202712,54431,32110,93086,0,254268,9448,4887,180947,73433,60387,38987,472747,351410,416238,22874,189223,51725,171290,178694,128105,45965,181413,38769,83124,241818,198827,151758,127238,51154,178475,145023,35446
5,Other Vegetation,166997,140803,172817,13194,12998,140939,105925,252867,46509,41237,0,5043,38449,12397,127685,122332,143624,38105,7015,8442,27071,131755,169384,81818,171990,182248,109070,51897,185465,34210,100958,23394,105879,104772,213348,165722,97986,168135,22706
6,Urban/Impervious,20649,25797,55035,2291,687,1079,53489,9911,33382,48184,0,6939,13703,25171,100568,32473,30473,7642,6497,23311,7747,20228,16131,11063,65980,33088,30771,35049,48250,16161,15121,7240,67603,33557,57798,58511,27307,58008,30801
7,grassland/wetland,204402,128856,122994,3690,25644,104856,36418,200646,10079,1244,0,3322,9188,459,43632,32788,63896,1921,2272,3031,14806,18501,72251,44492,55114,122217,126997,14782,67330,57223,47036,3011,133859,63454,61381,183263,44799,57540,1644
8,sparse mangrove,0,0,0,4232,2,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
