Abbrev,Name,Count_yr,Min_temp,Max_temp,Min_wind,Max_wind,Wind-Direction,Min_snow,Max_snow,Still Water,Moving Water,AM Cloud,PM Cloud,Am_rain_cond_Names,Pm_rain_cond_Names,Am_snow_cond_Names,Pm_snow_cond_Names
FLSM,St. Marks,40,,,,,,,,,,,,,,,
FLCE,Coot Bay-Everglades N.P.,63,57.00,74.00,12.00,25.00,Northwest,0.00,0.00,Unknown,Unknown,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
FLCO,Cocoa,63,58.00,76.00,2.00,12.00,Northeast,0.00,0.00,Unknown,Unknown,Cloudy,Clear,Unknown,Unknown,Unknown,Unknown
FLFL,Fort Lauderdale,63,63.00,78.00,5.00,5.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLFM,Fort Myers,63,64.00,82.00,5.00,10.00,Unknown,0.00,0.00,Unknown,Unknown,Cloudy,Clear,Unknown,Unknown,Unknown,Unknown
FLFP,Fort Pierce,63,55.00,67.00,8.00,18.00,Northeast,0.00,0.00,Open,Open,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLJA,Jacksonville,63,41.00,59.00,9.00,20.00,North,0.00,0.00,Unknown,Unknown,Partly Clear,Partly Clear,Unknown,Unknown,Unknown,Unknown
FLKL,Key Largo-Plantation Key,63,67.00,79.00,0.00,4.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLKW,Key West,63,70.00,78.00,5.00,5.00,East,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLLK,Lower Keys-Key Deer N.W.R.,63,60.00,61.00,10.00,10.00,North,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLPE,Pensacola,63,68.00,70.00,12.00,12.00,South,0.00,0.00,Unknown,Unknown,Unknown,Clear,Light,None,None,None
FLSC,Sanibel-Captiva,63,60.00,74.00,2.00,10.00,Southeast,0.00,0.00,Unknown,Unknown,Foggy,Clear,Unknown,Unknown,Unknown,Unknown
FLSM,St. Marks,63,56.00,63.00,5.00,10.00,Northeast,0.00,0.00,Unknown,Unknown,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
FLSP,St. Petersburg,63,63.00,76.00,5.00,15.00,South,0.00,0.00,Unknown,Unknown,Clear,Cloudy,Unknown,Unknown,Unknown,Unknown
FLSR,Sarasota,63,58.00,66.00,15.00,17.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLST,Stuart,63,70.00,78.00,5.00,10.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLWP,West Palm Beach,63,62.00,82.00,5.00,15.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLCE,Coot Bay-Everglades N.P.,64,53.00,69.00,5.00,5.00,East,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLCO,Cocoa,64,39.00,71.00,1.00,12.00,Variable,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLFL,Fort Lauderdale,64,65.00,75.00,0.00,5.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLFM,Fort Myers,64,44.00,65.00,3.00,7.00,Northeast,0.00,0.00,Unknown,Unknown,Cloudy,Clear,Unknown,Unknown,Unknown,Unknown
FLFP,Fort Pierce,64,58.00,72.00,0.00,10.00,Northwest,0.00,0.00,Open,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLJA,Jacksonville,64,44.00,58.00,5.00,15.00,Northwest,0.00,0.00,Unknown,Unknown,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
FLKL,Key Largo-Plantation Key,64,51.00,69.00,0.00,12.00,Northeast,0.00,0.00,Unknown,Unknown,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLKW,Key West,64,68.00,74.00,8.00,12.00,Northeast,0.00,0.00,Unknown,Unknown,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLLK,Lower Keys-Key Deer N.W.R.,64,63.00,68.00,7.00,7.00,Northeast,0.00,0.00,Unknown,Unknown,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLNA,Naples,64,55.00,72.00,2.00,8.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLPE,Pensacola,64,40.00,56.00,12.00,12.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLSC,Sanibel-Captiva,64,44.00,75.00,5.00,10.00,Southeast,0.00,0.00,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FLSM,St. Marks,64,35.00,52.00,8.00,12.00,Northwest,0.00,0.00,Unknown,Unknown,Cloudy,Clear,Unknown,Unknown,Unknown,Unknown
FLSP,St. Petersburg,64,56.00,64.00,5.00,15.00,South,0.00,0.00,Unknown,Unknown,Cloudy,Cloudy,Light,Light,None,None
FLSR,Sarasota,64,56.00,63.00,15.00,22.00,Northwest,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLST,Stuart,64,55.00,75.00,0.00,5.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLWP,West Palm Beach,64,45.00,72.00,0.00,12.00,Variable,0.00,0.00,Unknown,Unknown,Foggy,Clear,Unknown,Unknown,Unknown,Unknown
FLBC,Bay County,65,56.00,75.00,3.00,8.00,,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLCE,Coot Bay-Everglades N.P.,65,71.00,80.00,8.00,8.00,East,0.00,0.00,Unknown,Unknown,Clear,Cloudy,Unknown,Unknown,Unknown,Unknown
FLCO,Cocoa,65,55.00,76.00,1.00,8.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLFL,Fort Lauderdale,65,62.00,78.00,2.00,4.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLFM,Fort Myers,65,60.00,78.00,5.00,18.00,Northeast,0.00,0.00,Unknown,Unknown,Foggy,Clear,Unknown,Unknown,Unknown,Unknown
FLFP,Fort Pierce,65,65.00,76.00,0.00,12.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLJA,Jacksonville,65,59.00,71.00,4.00,15.00,Northwest,0.00,0.00,Unknown,Unknown,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
FLKL,Key Largo-Plantation Key,65,63.00,78.00,0.00,4.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLKW,Key West,65,72.00,79.00,12.00,18.00,Northeast,0.00,0.00,Unknown,Unknown,Partly Cloudy,Partly Cloudy,Light,Light,None,None
FLLK,Lower Keys-Key Deer N.W.R.,65,67.00,75.00,5.00,8.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLNA,Naples,65,60.00,74.00,5.00,15.00,Variable,0.00,0.00,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FLPE,Pensacola,65,59.00,78.00,10.00,10.00,South,0.00,0.00,Unknown,Unknown,Unknown,Clear,Light,None,None,None
FLSC,Sanibel-Captiva,65,65.00,84.00,3.00,10.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
