Abbrev,Name,Count_yr,Min_temp,Max_temp,Min_wind,Max_wind,Wind-Direction,Min_snow,Max_snow,Still Water,Moving Water,AM Cloud,PM Cloud,Am_rain_cond_Names,Pm_rain_cond_Names,Am_snow_cond_Names,Pm_snow_cond_Names
FLSM,St. Marks,40,,,,,,,,,,,,,,,
FLCE,Coot Bay-Everglades N.P.,63,57,74,12,25,Northwest,0,0,Unknown,Unknown,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
FLCO,Cocoa,63,58,76,2,12,Northeast,0,0,Unknown,Unknown,Cloudy,Clear,Unknown,Unknown,Unknown,Unknown
FLFL,Fort Lauderdale,63,63,78,5,5,Southeast,0,0,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLFM,Fort Myers,63,64,82,5,10,Unknown,0,0,Unknown,Unknown,Cloudy,Clear,Unknown,Unknown,Unknown,Unknown
FLFP,Fort Pierce,63,55,67,8,18,Northeast,0,0,Open,Open,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLJA,Jacksonville,63,41,59,9,20,North,0,0,Unknown,Unknown,Partly Clear,Partly Clear,Unknown,Unknown,Unknown,Unknown
FLKL,Key Largo-Plantation Key,63,67,79,0,4,Southeast,0,0,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLKW,Key West,63,70,78,5,5,East,0,0,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLLK,Lower Keys-Key Deer N.W.R.,63,60,61,10,10,North,0,0,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLPE,Pensacola,63,68,70,12,12,South,0,0,Unknown,Unknown,Unknown,Clear,Light,None,None,None
FLSC,Sanibel-Captiva,63,60,74,2,10,Southeast,0,0,Unknown,Unknown,Foggy,Clear,Unknown,Unknown,Unknown,Unknown
FLSM,St. Marks,63,56,63,5,10,Northeast,0,0,Unknown,Unknown,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
FLSP,St. Petersburg,63,63,76,5,15,South,0,0,Unknown,Unknown,Clear,Cloudy,Unknown,Unknown,Unknown,Unknown
FLSR,Sarasota,63,58,66,15,17,Northeast,0,0,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLST,Stuart,63,70,78,5,10,Northeast,0,0,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLWP,West Palm Beach,63,62,82,5,15,Southeast,0,0,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLCE,Coot Bay-Everglades N.P.,64,53,69,5,5,East,0,0,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLCO,Cocoa,64,39,71,1,12,Variable,0,0,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLFL,Fort Lauderdale,64,65,75,0,5,Southeast,0,0,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLFM,Fort Myers,64,44,65,3,7,Northeast,0,0,Unknown,Unknown,Cloudy,Clear,Unknown,Unknown,Unknown,Unknown
FLFP,Fort Pierce,64,58,72,0,10,Northwest,0,0,Open,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLJA,Jacksonville,64,44,58,5,15,Northwest,0,0,Unknown,Unknown,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
FLKL,Key Largo-Plantation Key,64,51,69,0,12,Northeast,0,0,Unknown,Unknown,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
